,date,index
250,2020-11-07,2.5
251,2020-11-08,2.9
252,2020-11-09,1.3
253,2020-11-10,1.3
254,2020-11-11,1.3
255,2020-11-12,1.3
256,2020-11-13,1.3
257,2020-11-14,2.4
258,2020-11-15,2.9
259,2020-11-16,1.3
260,2020-11-17,1.3
261,2020-11-18,1.3
262,2020-11-19,1.3
263,2020-11-20,1.3
264,2020-11-21,2.4
265,2020-11-22,2.9
266,2020-11-23,1.3
267,2020-11-24,1.3
268,2020-11-25,1.2
269,2020-11-26,1.2
270,2020-11-27,1.2
271,2020-11-28,2.4
272,2020-11-29,2.9
273,2020-11-30,1.3
274,2020-12-01,1.2
275,2020-12-02,1.3
276,2020-12-03,1.3
277,2020-12-04,1.3
278,2020-12-05,2.4
279,2020-12-06,2.9
280,2020-12-07,1.3
281,2020-12-08,1.2
282,2020-12-09,1.2
283,2020-12-10,1.2
284,2020-12-11,1.2
285,2020-12-12,2.4
286,2020-12-13,2.9
287,2020-12-14,1.2
288,2020-12-15,1.1
289,2020-12-16,1.1
290,2020-12-17,1.2
291,2020-12-18,1.1
292,2020-12-19,2.3
293,2020-12-20,2.8
294,2020-12-21,1.2
295,2020-12-22,1.1
296,2020-12-23,1.1
297,2020-12-24,1.1
298,2020-12-25,1.1
299,2020-12-26,2.2
300,2020-12-27,2.8
301,2020-12-28,1.2
302,2020-12-29,1.1
303,2020-12-30,1.3
304,2020-12-31,2.8
305,2020-01-01,3.6
306,2020-01-02,3.3
307,2020-01-03,3.1
