iter	RMSE
128	1.940286798
129	1.937366896
130	1.934456113
131	1.932614384
132	1.929970756
133	1.928155449
134	1.925530277
135	1.923506214
136	1.919745158
137	1.917892715
138	1.914627691
139	1.912631266
140	1.909697896
141	1.908232896
142	1.906266578
143	1.902906536
144	1.900876691
145	1.898212018
146	1.896012281
147	1.894340954
148	1.892492114
149	1.890632325
150	1.888862989
151	1.887180001
152	1.883821809
153	1.881752824
154	1.879881721
155	1.877998925
156	1.876496918
157	1.873739327
158	1.871717
159	1.868858613
160	1.865896682
161	1.862848733
162	1.86060638
163	1.857829246
164	1.856200445
165	1.852769757
166	1.850640005
167	1.848465793
168	1.846408184
169	1.844169225
170	1.840947203
171	1.837902027
172	1.836484056
173	1.833808839
174	1.830639141
175	1.828532446
176	1.82666522
177	1.823230547
178	1.821154713
179	1.818816432
180	1.817233921
181	1.814837256
182	1.81261459
183	1.809940095
184	1.808429252
185	1.806892894
186	1.805611623
187	1.804262945
188	1.80236271
189	1.80019912
190	1.798471641
191	1.796790275
192	1.795059199
193	1.793193996
194	1.790445913
195	1.788723257
196	1.787007529
197	1.785225479
198	1.783590049
199	1.781704606
200	1.779317383
201	1.777683767
202	1.775711278
203	1.774041907
204	1.772152436
205	1.769383481
206	1.767783336
207	1.765732866
208	1.763772408
209	1.76147327
210	1.759875024
211	1.758135214
212	1.7571775
213	1.754667156
214	1.752767594
215	1.750771926
216	1.748985522
217	1.747406092
218	1.745327261
219	1.743260465
220	1.741748482
221	1.74087985
222	1.738508574
223	1.737491202
224	1.736272213
225	1.734400223
226	1.732848273
227	1.731122449
228	1.729773974
229	1.728817302
230	1.727113845
231	1.72530352
232	1.722688717
233	1.719686265
234	1.718677195
235	1.717288768
236	1.71628728
237	1.715138848
238	1.713345414
239	1.710919212
240	1.709019221
241	1.707008847
242	1.704855563
243	1.703561962
244	1.702106591
245	1.700458846
246	1.698702554
247	1.697349816
248	1.695832245
249	1.693731449
250	1.691139279
251	1.689827577
252	1.688752981
253	1.687145646
254	1.685803922
255	1.684089846
256	1.681720798
257	1.680188525
258	1.678897153
259	1.67735158
260	1.675273226
261	1.673742563
262	1.673047912
263	1.671445956
264	1.670619769
265	1.669064832
266	1.667470966
267	1.665703039
268	1.664333841
269	1.662412541
270	1.66117102
271	1.660394824
272	1.65861639
273	1.656508343
274	1.654981472
275	1.653268005
276	1.651410832
277	1.649461667
278	1.647555218
279	1.646102686
280	1.644757807
281	1.642872733
282	1.641887724
283	1.639569078
284	1.638830283
285	1.637698909
286	1.636449663
287	1.63489812
288	1.633756017
289	1.632446362
290	1.631465945
291	1.630218562
292	1.628977141
293	1.628420361
294	1.627200729
295	1.624882079
296	1.623605477
297	1.622182367
298	1.621492878
299	1.620208354
300	1.618443779
301	1.617454876
302	1.61572391
303	1.614890696
304	1.613420652
305	1.61250118
306	1.610527813
307	1.609784899
308	1.608509133
309	1.607133723
310	1.606087254
311	1.605257185
312	1.603550885
313	1.602207455
314	1.601416203
315	1.600089919
316	1.599383583
317	1.598232414
318	1.596837246
319	1.594951527
320	1.593956275
321	1.593171875
322	1.592041656
323	1.590622109
324	1.589202314
325	1.587771924
326	1.586201038
327	1.584093129
328	1.582155227
329	1.580569385
330	1.578761429
331	1.57771274
332	1.576638319
333	1.574745768
334	1.572811364
335	1.571387544
336	1.569763104
337	1.568502814
338	1.567616481
339	1.566255635
340	1.564864032
341	1.564082357
342	1.562392675
343	1.561165724
344	1.560136827
345	1.559144246
346	1.558401716
347	1.55729677
348	1.556663115
349	1.555661822
350	1.55475037
351	1.552979426
352	1.551251353
353	1.550282837
354	1.54853373
355	1.546697843
356	1.545359999
357	1.543682997
358	1.542678954
359	1.541907495
360	1.540726608
361	1.539691636
362	1.538198686
363	1.537293079
364	1.53602542
365	1.534999995
366	1.533548866
367	1.532756946
368	1.531565076
369	1.529893845
370	1.52851477
371	1.52767527
372	1.526583237
373	1.525961497
374	1.524912663
375	1.523498748
376	1.521908753
377	1.520502917
378	1.51931413
379	1.518476469
380	1.517055967
381	1.516453896
382	1.515206396
383	1.512918794
384	1.511741665
385	1.510539991
386	1.509444791
387	1.508294528
388	1.507371859
389	1.506733725
390	1.505715471
391	1.504465292
392	1.503189289
393	1.502228364
394	1.501299024
395	1.500462577
396	1.500086185
397	1.499384248
398	1.498862062
399	1.496749637
400	1.49552178
401	1.4950173
402	1.494291362
403	1.493599618
404	1.49253046
405	1.491739919
406	1.490626841
407	1.48975973
408	1.488195562
409	1.486453928
410	1.48553772
411	1.484396748
412	1.483221361
413	1.482255374
414	1.480762247
415	1.479796527
416	1.479013344
417	1.477753546
418	1.476917418
419	1.475452557
420	1.473857352
421	1.472803318
422	1.470668116
423	1.468473665
424	1.467147803
425	1.466230006
426	1.465284602
427	1.464205727
428	1.463246245
429	1.462477427
430	1.461431461
431	1.459941705
432	1.459271494
433	1.457827936
434	1.456936992
435	1.455592939
436	1.45474954
437	1.453835483
438	1.452750808
439	1.451918098
440	1.450247514
441	1.449295195
442	1.448109081
443	1.447082381
444	1.446220904
445	1.444954374
446	1.444202661
447	1.443522901
448	1.442183955
449	1.440980806
450	1.439935855
451	1.439223587
452	1.438545473
453	1.437692129
454	1.436635273
455	1.435019962
456	1.434207731
457	1.432898128
458	1.432282355
459	1.431458622
460	1.430368651
461	1.429370498
462	1.428244502
463	1.427284368
464	1.42592272
465	1.425398781
466	1.424757029
467	1.423948397
468	1.4230366
469	1.422765107
470	1.422145961
471	1.421412218
472	1.420364842
473	1.419684621
474	1.418434409
475	1.417491661
476	1.416496388
477	1.415785695
478	1.415398554
479	1.414338828
480	1.413445366
481	1.412686465
482	1.411730651
483	1.411058922
484	1.409864684
485	1.409238537
486	1.408327538
487	1.408071154
488	1.407087883
489	1.405913705
490	1.405423726
491	1.404529206
492	1.4030685
493	1.402225661
494	1.400977358
495	1.400020612
496	1.399073196
497	1.398296542
498	1.397398835
499	1.396514172
500	1.395441893
501	1.394746559
502	1.393862163
503	1.392665644
504	1.392064964
505	1.391107226
506	1.389957974
507	1.389362758
508	1.388566823
509	1.387351166
510	1.386614491
511	1.385371644
512	1.384816612
513	1.382962386
514	1.381882113
515	1.381140006
516	1.379601176
517	1.378710074
518	1.378008351
519	1.377182168
520	1.376759054
521	1.375532063
522	1.374740252
523	1.373574369
524	1.372750234
525	1.37197388
526	1.37094628
527	1.369870092
528	1.369604441
529	1.368715518
530	1.367994543
531	1.366813682
532	1.365894925
533	1.364715138
534	1.36339366
535	1.362757952
536	1.362496977
537	1.361526555
538	1.360566691
539	1.359822098
540	1.35876015
541	1.357821379
542	1.357161356
543	1.356944332
544	1.356352843
545	1.355848941
546	1.355612558
547	1.354878203
548	1.354326538
549	1.353133978
550	1.352333177
551	1.351164538
552	1.350338319
553	1.349763781
554	1.34921858
555	1.348202428
556	1.347363943
557	1.345789531
558	1.344903657
559	1.344634775
560	1.34328983
561	1.342276523
562	1.341718156
563	1.341030317
564	1.340296131
565	1.339656083
566	1.33899326
567	1.338800309
568	1.337871423
569	1.337645087
570	1.336621328
571	1.33585169
572	1.334984167
573	1.334310813
574	1.333621142
575	1.333421307
576	1.332141436
577	1.331599931
578	1.33102017
579	1.33028347
580	1.330090201
581	1.329533494
582	1.328845577
583	1.328151477
584	1.327478875
585	1.326986336
586	1.325982783
587	1.325247355
588	1.324589072
589	1.323901534
590	1.323068153
591	1.321917084
592	1.321316388
593	1.320471069
594	1.31952256
595	1.318330722
596	1.317718821
597	1.316872063
598	1.316485437
599	1.315602349
600	1.31457622
601	1.313961516
602	1.312969946
603	1.312016306
604	1.311245482
605	1.310362071
606	1.30960663
607	1.309425077
608	1.308298937
609	1.3077593
610	1.306843916
611	1.305911996
612	1.305022307
613	1.304848357
614	1.304189721
615	1.302794588
616	1.302212423
617	1.302045103
618	1.301413419
619	1.300549151
620	1.299914919
621	1.29918309
622	1.299005304
623	1.298235612
624	1.297230396
625	1.296895371
626	1.296001315
627	1.295118081
628	1.294289446
629	1.293088545
630	1.29233894
631	1.291863881
632	1.291098454
633	1.290313723
634	1.289612503
635	1.289063578
636	1.288267923
637	1.287649565
638	1.287189295
639	1.286169539
640	1.28537795
641	1.284546765
642	1.283987257
643	1.283306454
644	1.283174281
645	1.28246307
646	1.281733904
647	1.281247794
648	1.280755454
649	1.280210597
650	1.278681485
651	1.27785548
652	1.276916958
653	1.276394336
654	1.275091397
655	1.274353467
656	1.273488524
657	1.27305843
658	1.272304161
659	1.270943915
660	1.270094149
661	1.26913888
662	1.267708547
663	1.267032453
664	1.266486472
665	1.266331124
666	1.26513028
667	1.264521409
668	1.263888557
669	1.262511629
670	1.261917495
671	1.260887355
672	1.260156039
673	1.259966665
674	1.259354519
675	1.257788319
676	1.256547642
677	1.255668722
678	1.25466563
679	1.254093071
680	1.253675103
681	1.25271634
682	1.252054703
683	1.251099211
684	1.249829894
685	1.249179316
686	1.248725411
687	1.248340909
688	1.247617471
689	1.247227529
690	1.246360519
691	1.245602084
692	1.244716909
693	1.244069361
694	1.24384893
695	1.242874059
696	1.242235675
697	1.241348044
698	1.240814183
699	1.240308535
700	1.23974106
701	1.238889502
702	1.238109014
703	1.237332459
704	1.236733757
705	1.23608556
706	1.235025893
707	1.234328444
708	1.233635978
709	1.23310023
710	1.232345459
711	1.231569634
712	1.230963054
713	1.230527268
714	1.229602071
715	1.228934363
716	1.228323679
717	1.227353288
718	1.226560347
719	1.226114922
720	1.225547461
721	1.22475656
722	1.224229362
723	1.223694387
724	1.223166211
725	1.222719459
726	1.222166152
727	1.22120432
728	1.221027178
729	1.220677313
730	1.220144171
731	1.219515905
732	1.218965915
733	1.218301248
734	1.217441483
735	1.216831227
736	1.21611053
737	1.215260792
738	1.214334634
739	1.213873391
740	1.213414178
741	1.212837743
742	1.212007009
743	1.211594669
744	1.21085957
745	1.210487938
746	1.209170537
747	1.20883914
748	1.208077124
749	1.207586719
750	1.206857152
751	1.205972906
752	1.205236394
753	1.204071511
754	1.20326971
755	1.202630789
756	1.202322408
757	1.201825945
758	1.2011041
759	1.200285668
760	1.199653024
761	1.199257392
762	1.198322835
763	1.197917697
764	1.197434595
765	1.196679501
766	1.196057731
767	1.195189237
768	1.194849553
769	1.194420003
770	1.193645855
771	1.192739832
772	1.192415991
773	1.192171319
774	1.191588984
775	1.191061356
776	1.190110508
777	1.189373584
778	1.188989861
779	1.188516759
780	1.187786629
781	1.187131126
782	1.18594901
783	1.185406977
784	1.184753268
785	1.184041346
786	1.183323261
787	1.182173679
788	1.181655296
789	1.180763706
790	1.180246934
791	1.179844123
792	1.178871673
793	1.178044885
794	1.177712469
795	1.177301517
796	1.176573655
797	1.17609889
798	1.175735809
799	1.175298295
