iter	Passed	Remaining
0	4	4397
1	7	4285
2	15	5731
3	19	5357
4	23	5122
5	31	5805
6	42	6647
7	53	7251
8	70	8517
9	82	8970
10	92	9111
11	101	9221
12	112	9416
13	119	9239
14	124	8981
15	131	8936
16	135	8627
17	138	8337
18	145	8271
19	149	8057
20	153	7865
21	157	7723
22	163	7676
23	171	7708
24	177	7622
25	183	7579
26	189	7537
27	197	7547
28	200	7399
29	203	7264
30	210	7247
31	218	7296
32	229	7414
33	240	7555
34	247	7524
35	251	7421
36	262	7547
37	266	7452
38	273	7453
39	278	7390
40	282	7290
41	285	7199
42	294	7251
43	302	7261
44	312	7315
45	320	7350
46	328	7357
47	331	7271
48	335	7190
49	341	7176
50	346	7118
51	350	7055
52	358	7083
53	364	7060
54	370	7041
55	391	7295
56	395	7237
57	399	7183
58	411	7264
59	415	7200
60	421	7174
61	426	7148
62	439	7232
63	445	7208
64	448	7145
65	459	7198
66	462	7137
67	466	7079
68	475	7099
69	478	7039
70	482	6991
71	488	6981
72	496	6991
73	509	7061
74	517	7069
75	524	7070
76	529	7028
77	532	6976
78	541	6995
79	545	6952
80	548	6906
81	557	6921
82	562	6895
83	575	6961
84	579	6925
85	587	6931
86	595	6939
87	601	6917
88	608	6910
89	611	6867
90	619	6869
91	625	6851
92	639	6925
93	650	6967
94	662	7010
95	676	7079
96	683	7070
97	689	7051
98	705	7136
99	710	7105
100	714	7065
101	723	7081
102	727	7041
103	734	7033
104	739	7003
105	745	6994
106	755	7006
107	767	7049
108	773	7034
109	777	6995
110	787	7017
111	791	6977
112	794	6942
113	803	6950
114	806	6911
115	810	6873
116	817	6866
117	821	6834
118	827	6822
119	837	6840
120	843	6825
121	853	6840
122	857	6810
123	860	6775
124	869	6783
125	873	6748
126	876	6718
127	885	6727
128	895	6741
129	906	6762
130	915	6769
131	919	6743
132	923	6711
133	927	6688
134	934	6682
135	938	6653
136	942	6623
137	953	6646
138	975	6743
139	987	6768
140	990	6739
141	998	6733
142	1002	6709
143	1006	6682
144	1012	6671
145	1018	6652
146	1031	6689
147	1042	6706
148	1050	6706
149	1057	6694
150	1066	6700
151	1070	6677
152	1074	6648
153	1085	6665
